realisation,job_id,actual_duration_min,parent_job_id,provenance
14,J00010c1,16.5,J00010,D:lognormal_from_declared_pairing_rule
15,J00010c1,47.5,J00010,D:lognormal_from_declared_pairing_rule
16,J00010c1,19.9,J00010,D:lognormal_from_declared_pairing_rule
17,J00010c1,43.9,J00010,D:lognormal_from_declared_pairing_rule
18,J00010c1,23.3,J00010,D:lognormal_from_declared_pairing_rule
19,J00010c1,15.6,J00010,D:lognormal_from_declared_pairing_rule
20,J00010c1,17.0,J00010,D:lognormal_from_declared_pairing_rule
21,J00010c1,13.6,J00010,D:lognormal_from_declared_pairing_rule
22,J00010c1,19.9,J00010,D:lognormal_from_declared_pairing_rule
23,J00010c1,17.7,J00010,D:lognormal_from_declared_pairing_rule
24,J00010c1,12.6,J00010,D:lognormal_from_declared_pairing_rule
25,J00010c1,36.0,J00010,D:lognormal_from_declared_pairing_rule
26,J00010c1,23.9,J00010,D:lognormal_from_declared_pairing_rule
27,J00010c1,34.6,J00010,D:lognormal_from_declared_pairing_rule
28,J00010c1,13.4,J00010,D:lognormal_from_declared_pairing_rule
29,J00010c1,14.3,J00010,D:lognormal_from_declared_pairing_rule
0,J00013c0,13.0,J00013,D:lognormal_from_declared_pairing_rule
1,J00013c0,19.6,J00013,D:lognormal_from_declared_pairing_rule
2,J00013c0,21.5,J00013,D:lognormal_from_declared_pairing_rule
3,J00013c0,13.4,J00013,D:lognormal_from_declared_pairing_rule
4,J00013c0,22.3,J00013,D:lognormal_from_declared_pairing_rule
5,J00013c0,12.2,J00013,D:lognormal_from_declared_pairing_rule
6,J00013c0,17.8,J00013,D:lognormal_from_declared_pairing_rule
7,J00013c0,12.0,J00013,D:lognormal_from_declared_pairing_rule
8,J00013c0,22.3,J00013,D:lognormal_from_declared_pairing_rule
9,J00013c0,20.5,J00013,D:lognormal_from_declared_pairing_rule
10,J00013c0,12.6,J00013,D:lognormal_from_declared_pairing_rule
11,J00013c0,13.7,J00013,D:lognormal_from_declared_pairing_rule
12,J00013c0,21.9,J00013,D:lognormal_from_declared_pairing_rule
13,J00013c0,24.4,J00013,D:lognormal_from_declared_pairing_rule
14,J00013c0,21.5,J00013,D:lognormal_from_declared_pairing_rule
15,J00013c0,18.2,J00013,D:lognormal_from_declared_pairing_rule
16,J00013c0,31.6,J00013,D:lognormal_from_declared_pairing_rule
17,J00013c0,29.4,J00013,D:lognormal_from_declared_pairing_rule
18,J00013c0,14.3,J00013,D:lognormal_from_declared_pairing_rule
19,J00013c0,22.3,J00013,D:lognormal_from_declared_pairing_rule
20,J00013c0,17.3,J00013,D:lognormal_from_declared_pairing_rule
21,J00013c0,14.9,J00013,D:lognormal_from_declared_pairing_rule
22,J00013c0,24.1,J00013,D:lognormal_from_declared_pairing_rule
23,J00013c0,41.0,J00013,D:lognormal_from_declared_pairing_rule
24,J00013c0,27.8,J00013,D:lognormal_from_declared_pairing_rule
25,J00013c0,13.4,J00013,D:lognormal_from_declared_pairing_rule
26,J00013c0,15.9,J00013,D:lognormal_from_declared_pairing_rule
27,J00013c0,15.6,J00013,D:lognormal_from_declared_pairing_rule
28,J00013c0,17.4,J00013,D:lognormal_from_declared_pairing_rule
29,J00013c0,22.1,J00013,D:lognormal_from_declared_pairing_rule
0,J00016c0,23.4,J00016,D:lognormal_from_declared_pairing_rule
1,J00016c0,22.3,J00016,D:lognormal_from_declared_pairing_rule
2,J00016c0,32.3,J00016,D:lognormal_from_declared_pairing_rule
3,J00016c0,18.4,J00016,D:lognormal_from_declared_pairing_rule
4,J00016c0,24.5,J00016,D:lognormal_from_declared_pairing_rule
5,J00016c0,25.3,J00016,D:lognormal_from_declared_pairing_rule
6,J00016c0,18.5,J00016,D:lognormal_from_declared_pairing_rule
7,J00016c0,37.3,J00016,D:lognormal_from_declared_pairing_rule
8,J00016c0,27.7,J00016,D:lognormal_from_declared_pairing_rule
9,J00016c0,16.8,J00016,D:lognormal_from_declared_pairing_rule
10,J00016c0,18.8,J00016,D:lognormal_from_declared_pairing_rule
11,J00016c0,20.8,J00016,D:lognormal_from_declared_pairing_rule
12,J00016c0,37.4,J00016,D:lognormal_from_declared_pairing_rule
13,J00016c0,30.0,J00016,D:lognormal_from_declared_pairing_rule
14,J00016c0,20.3,J00016,D:lognormal_from_declared_pairing_rule
15,J00016c0,24.5,J00016,D:lognormal_from_declared_pairing_rule
16,J00016c0,22.4,J00016,D:lognormal_from_declared_pairing_rule
17,J00016c0,36.2,J00016,D:lognormal_from_declared_pairing_rule
18,J00016c0,18.8,J00016,D:lognormal_from_declared_pairing_rule
19,J00016c0,22.4,J00016,D:lognormal_from_declared_pairing_rule
20,J00016c0,56.4,J00016,D:lognormal_from_declared_pairing_rule
21,J00016c0,24.9,J00016,D:lognormal_from_declared_pairing_rule
22,J00016c0,26.6,J00016,D:lognormal_from_declared_pairing_rule
23,J00016c0,21.3,J00016,D:lognormal_from_declared_pairing_rule
24,J00016c0,41.6,J00016,D:lognormal_from_declared_pairing_rule
25,J00016c0,22.1,J00016,D:lognormal_from_declared_pairing_rule
26,J00016c0,12.4,J00016,D:lognormal_from_declared_pairing_rule
27,J00016c0,19.2,J00016,D:lognormal_from_declared_pairing_rule
28,J00016c0,31.4,J00016,D:lognormal_from_declared_pairing_rule
29,J00016c0,16.4,J00016,D:lognormal_from_declared_pairing_rule
0,J00016c1,14.8,J00016,D:lognormal_from_declared_pairing_rule
1,J00016c1,14.5,J00016,D:lognormal_from_declared_pairing_rule
2,J00016c1,26.1,J00016,D:lognormal_from_declared_pairing_rule
3,J00016c1,20.9,J00016,D:lognormal_from_declared_pairing_rule
4,J00016c1,10.9,J00016,D:lognormal_from_declared_pairing_rule
5,J00016c1,10.7,J00016,D:lognormal_from_declared_pairing_rule
6,J00016c1,16.4,J00016,D:lognormal_from_declared_pairing_rule
7,J00016c1,15.8,J00016,D:lognormal_from_declared_pairing_rule
8,J00016c1,18.9,J00016,D:lognormal_from_declared_pairing_rule
9,J00016c1,30.7,J00016,D:lognormal_from_declared_pairing_rule
10,J00016c1,8.8,J00016,D:lognormal_from_declared_pairing_rule
11,J00016c1,16.0,J00016,D:lognormal_from_declared_pairing_rule
12,J00016c1,13.3,J00016,D:lognormal_from_declared_pairing_rule
13,J00016c1,18.5,J00016,D:lognormal_from_declared_pairing_rule
14,J00016c1,18.6,J00016,D:lognormal_from_declared_pairing_rule
15,J00016c1,15.9,J00016,D:lognormal_from_declared_pairing_rule
16,J00016c1,12.4,J00016,D:lognormal_from_declared_pairing_rule
17,J00016c1,16.9,J00016,D:lognormal_from_declared_pairing_rule
18,J00016c1,8.9,J00016,D:lognormal_from_declared_pairing_rule
19,J00016c1,31.4,J00016,D:lognormal_from_declared_pairing_rule
20,J00016c1,5.8,J00016,D:lognormal_from_declared_pairing_rule
21,J00016c1,18.8,J00016,D:lognormal_from_declared_pairing_rule
22,J00016c1,17.4,J00016,D:lognormal_from_declared_pairing_rule
23,J00016c1,14.1,J00016,D:lognormal_from_declared_pairing_rule
24,J00016c1,14.4,J00016,D:lognormal_from_declared_pairing_rule
25,J00016c1,11.1,J00016,D:lognormal_from_declared_pairing_rule
26,J00016c1,12.5,J00016,D:lognormal_from_declared_pairing_rule
27,J00016c1,14.6,J00016,D:lognormal_from_declared_pairing_rule
28,J00016c1,10.0,J00016,D:lognormal_from_declared_pairing_rule
29,J00016c1,9.2,J00016,D:lognormal_from_declared_pairing_rule
0,J00017c0,32.4,J00017,D:lognormal_from_declared_pairing_rule
1,J00017c0,29.5,J00017,D:lognormal_from_declared_pairing_rule
2,J00017c0,31.0,J00017,D:lognormal_from_declared_pairing_rule
3,J00017c0,33.5,J00017,D:lognormal_from_declared_pairing_rule
4,J00017c0,14.1,J00017,D:lognormal_from_declared_pairing_rule
5,J00017c0,19.0,J00017,D:lognormal_from_declared_pairing_rule
6,J00017c0,29.9,J00017,D:lognormal_from_declared_pairing_rule
7,J00017c0,20.5,J00017,D:lognormal_from_declared_pairing_rule
8,J00017c0,46.9,J00017,D:lognormal_from_declared_pairing_rule
9,J00017c0,23.5,J00017,D:lognormal_from_declared_pairing_rule
10,J00017c0,23.3,J00017,D:lognormal_from_declared_pairing_rule
11,J00017c0,35.2,J00017,D:lognormal_from_declared_pairing_rule
12,J00017c0,27.5,J00017,D:lognormal_from_declared_pairing_rule
13,J00017c0,20.1,J00017,D:lognormal_from_declared_pairing_rule
14,J00017c0,24.3,J00017,D:lognormal_from_declared_pairing_rule
15,J00017c0,52.3,J00017,D:lognormal_from_declared_pairing_rule
16,J00017c0,30.0,J00017,D:lognormal_from_declared_pairing_rule
17,J00017c0,35.5,J00017,D:lognormal_from_declared_pairing_rule
18,J00017c0,63.2,J00017,D:lognormal_from_declared_pairing_rule
19,J00017c0,19.4,J00017,D:lognormal_from_declared_pairing_rule
20,J00017c0,40.8,J00017,D:lognormal_from_declared_pairing_rule
21,J00017c0,23.8,J00017,D:lognormal_from_declared_pairing_rule
22,J00017c0,19.6,J00017,D:lognormal_from_declared_pairing_rule
23,J00017c0,30.6,J00017,D:lognormal_from_declared_pairing_rule
24,J00017c0,27.5,J00017,D:lognormal_from_declared_pairing_rule
25,J00017c0,33.4,J00017,D:lognormal_from_declared_pairing_rule
26,J00017c0,26.6,J00017,D:lognormal_from_declared_pairing_rule
27,J00017c0,18.6,J00017,D:lognormal_from_declared_pairing_rule
28,J00017c0,32.1,J00017,D:lognormal_from_declared_pairing_rule
29,J00017c0,27.5,J00017,D:lognormal_from_declared_pairing_rule
0,J00017c1,25.1,J00017,D:lognormal_from_declared_pairing_rule
1,J00017c1,23.2,J00017,D:lognormal_from_declared_pairing_rule
2,J00017c1,20.2,J00017,D:lognormal_from_declared_pairing_rule
3,J00017c1,28.4,J00017,D:lognormal_from_declared_pairing_rule
4,J00017c1,14.8,J00017,D:lognormal_from_declared_pairing_rule
5,J00017c1,15.1,J00017,D:lognormal_from_declared_pairing_rule
6,J00017c1,18.9,J00017,D:lognormal_from_declared_pairing_rule
7,J00017c1,45.9,J00017,D:lognormal_from_declared_pairing_rule
8,J00017c1,27.2,J00017,D:lognormal_from_declared_pairing_rule
9,J00017c1,14.0,J00017,D:lognormal_from_declared_pairing_rule
10,J00017c1,15.1,J00017,D:lognormal_from_declared_pairing_rule
11,J00017c1,13.3,J00017,D:lognormal_from_declared_pairing_rule
12,J00017c1,23.5,J00017,D:lognormal_from_declared_pairing_rule
13,J00017c1,15.8,J00017,D:lognormal_from_declared_pairing_rule
14,J00017c1,12.4,J00017,D:lognormal_from_declared_pairing_rule
15,J00017c1,28.6,J00017,D:lognormal_from_declared_pairing_rule
16,J00017c1,24.4,J00017,D:lognormal_from_declared_pairing_rule
17,J00017c1,22.1,J00017,D:lognormal_from_declared_pairing_rule
18,J00017c1,12.7,J00017,D:lognormal_from_declared_pairing_rule
19,J00017c1,12.3,J00017,D:lognormal_from_declared_pairing_rule
20,J00017c1,17.9,J00017,D:lognormal_from_declared_pairing_rule
21,J00017c1,11.9,J00017,D:lognormal_from_declared_pairing_rule
22,J00017c1,16.2,J00017,D:lognormal_from_declared_pairing_rule
23,J00017c1,30.9,J00017,D:lognormal_from_declared_pairing_rule
24,J00017c1,23.9,J00017,D:lognormal_from_declared_pairing_rule
25,J00017c1,21.8,J00017,D:lognormal_from_declared_pairing_rule
26,J00017c1,20.5,J00017,D:lognormal_from_declared_pairing_rule
27,J00017c1,18.3,J00017,D:lognormal_from_declared_pairing_rule
28,J00017c1,11.0,J00017,D:lognormal_from_declared_pairing_rule
29,J00017c1,22.9,J00017,D:lognormal_from_declared_pairing_rule
0,J00020c0,45.4,J00020,D:lognormal_from_declared_pairing_rule
1,J00020c0,16.2,J00020,D:lognormal_from_declared_pairing_rule
2,J00020c0,19.4,J00020,D:lognormal_from_declared_pairing_rule
3,J00020c0,20.8,J00020,D:lognormal_from_declared_pairing_rule
4,J00020c0,16.5,J00020,D:lognormal_from_declared_pairing_rule
5,J00020c0,17.1,J00020,D:lognormal_from_declared_pairing_rule
6,J00020c0,35.7,J00020,D:lognormal_from_declared_pairing_rule
7,J00020c0,12.8,J00020,D:lognormal_from_declared_pairing_rule
8,J00020c0,27.5,J00020,D:lognormal_from_declared_pairing_rule
9,J00020c0,15.2,J00020,D:lognormal_from_declared_pairing_rule
10,J00020c0,14.7,J00020,D:lognormal_from_declared_pairing_rule
11,J00020c0,13.9,J00020,D:lognormal_from_declared_pairing_rule
12,J00020c0,21.1,J00020,D:lognormal_from_declared_pairing_rule
13,J00020c0,36.9,J00020,D:lognormal_from_declared_pairing_rule
14,J00020c0,22.8,J00020,D:lognormal_from_declared_pairing_rule
15,J00020c0,24.7,J00020,D:lognormal_from_declared_pairing_rule
16,J00020c0,20.9,J00020,D:lognormal_from_declared_pairing_rule
17,J00020c0,28.1,J00020,D:lognormal_from_declared_pairing_rule
18,J00020c0,35.6,J00020,D:lognormal_from_declared_pairing_rule
19,J00020c0,16.9,J00020,D:lognormal_from_declared_pairing_rule
20,J00020c0,32.5,J00020,D:lognormal_from_declared_pairing_rule
21,J00020c0,13.5,J00020,D:lognormal_from_declared_pairing_rule
22,J00020c0,34.1,J00020,D:lognormal_from_declared_pairing_rule
23,J00020c0,34.6,J00020,D:lognormal_from_declared_pairing_rule
24,J00020c0,40.7,J00020,D:lognormal_from_declared_pairing_rule
25,J00020c0,18.8,J00020,D:lognormal_from_declared_pairing_rule
26,J00020c0,20.3,J00020,D:lognormal_from_declared_pairing_rule
27,J00020c0,24.8,J00020,D:lognormal_from_declared_pairing_rule
28,J00020c0,41.2,J00020,D:lognormal_from_declared_pairing_rule
29,J00020c0,16.9,J00020,D:lognormal_from_declared_pairing_rule
0,J00020c1,13.2,J00020,D:lognormal_from_declared_pairing_rule
1,J00020c1,7.2,J00020,D:lognormal_from_declared_pairing_rule
2,J00020c1,19.5,J00020,D:lognormal_from_declared_pairing_rule
3,J00020c1,13.1,J00020,D:lognormal_from_declared_pairing_rule
4,J00020c1,12.7,J00020,D:lognormal_from_declared_pairing_rule
5,J00020c1,12.2,J00020,D:lognormal_from_declared_pairing_rule
6,J00020c1,17.2,J00020,D:lognormal_from_declared_pairing_rule
7,J00020c1,20.2,J00020,D:lognormal_from_declared_pairing_rule
8,J00020c1,13.3,J00020,D:lognormal_from_declared_pairing_rule
9,J00020c1,15.3,J00020,D:lognormal_from_declared_pairing_rule
10,J00020c1,16.5,J00020,D:lognormal_from_declared_pairing_rule
11,J00020c1,21.4,J00020,D:lognormal_from_declared_pairing_rule
12,J00020c1,21.2,J00020,D:lognormal_from_declared_pairing_rule
13,J00020c1,13.2,J00020,D:lognormal_from_declared_pairing_rule
14,J00020c1,10.8,J00020,D:lognormal_from_declared_pairing_rule
15,J00020c1,8.9,J00020,D:lognormal_from_declared_pairing_rule
16,J00020c1,8.7,J00020,D:lognormal_from_declared_pairing_rule
17,J00020c1,19.5,J00020,D:lognormal_from_declared_pairing_rule
18,J00020c1,17.6,J00020,D:lognormal_from_declared_pairing_rule
19,J00020c1,12.8,J00020,D:lognormal_from_declared_pairing_rule
20,J00020c1,15.2,J00020,D:lognormal_from_declared_pairing_rule
21,J00020c1,13.2,J00020,D:lognormal_from_declared_pairing_rule
22,J00020c1,20.7,J00020,D:lognormal_from_declared_pairing_rule
23,J00020c1,9.6,J00020,D:lognormal_from_declared_pairing_rule
24,J00020c1,17.9,J00020,D:lognormal_from_declared_pairing_rule
25,J00020c1,14.5,J00020,D:lognormal_from_declared_pairing_rule
26,J00020c1,17.5,J00020,D:lognormal_from_declared_pairing_rule
27,J00020c1,17.7,J00020,D:lognormal_from_declared_pairing_rule
28,J00020c1,27.8,J00020,D:lognormal_from_declared_pairing_rule
29,J00020c1,13.7,J00020,D:lognormal_from_declared_pairing_rule
0,J00023c0,15.1,J00023,D:lognormal_from_declared_pairing_rule
1,J00023c0,25.2,J00023,D:lognormal_from_declared_pairing_rule
2,J00023c0,20.5,J00023,D:lognormal_from_declared_pairing_rule
3,J00023c0,9.8,J00023,D:lognormal_from_declared_pairing_rule
4,J00023c0,19.0,J00023,D:lognormal_from_declared_pairing_rule
5,J00023c0,15.5,J00023,D:lognormal_from_declared_pairing_rule
6,J00023c0,22.0,J00023,D:lognormal_from_declared_pairing_rule
7,J00023c0,14.9,J00023,D:lognormal_from_declared_pairing_rule
8,J00023c0,38.0,J00023,D:lognormal_from_declared_pairing_rule
9,J00023c0,23.1,J00023,D:lognormal_from_declared_pairing_rule
10,J00023c0,25.5,J00023,D:lognormal_from_declared_pairing_rule
11,J00023c0,36.1,J00023,D:lognormal_from_declared_pairing_rule
12,J00023c0,26.1,J00023,D:lognormal_from_declared_pairing_rule
13,J00023c0,13.5,J00023,D:lognormal_from_declared_pairing_rule
14,J00023c0,15.0,J00023,D:lognormal_from_declared_pairing_rule
15,J00023c0,20.7,J00023,D:lognormal_from_declared_pairing_rule
16,J00023c0,32.4,J00023,D:lognormal_from_declared_pairing_rule
17,J00023c0,33.7,J00023,D:lognormal_from_declared_pairing_rule
18,J00023c0,20.4,J00023,D:lognormal_from_declared_pairing_rule
19,J00023c0,26.0,J00023,D:lognormal_from_declared_pairing_rule
20,J00023c0,30.0,J00023,D:lognormal_from_declared_pairing_rule
21,J00023c0,17.6,J00023,D:lognormal_from_declared_pairing_rule
22,J00023c0,27.1,J00023,D:lognormal_from_declared_pairing_rule
23,J00023c0,23.4,J00023,D:lognormal_from_declared_pairing_rule
24,J00023c0,14.5,J00023,D:lognormal_from_declared_pairing_rule
25,J00023c0,13.9,J00023,D:lognormal_from_declared_pairing_rule
26,J00023c0,28.8,J00023,D:lognormal_from_declared_pairing_rule
27,J00023c0,24.1,J00023,D:lognormal_from_declared_pairing_rule
28,J00023c0,17.6,J00023,D:lognormal_from_declared_pairing_rule
29,J00023c0,25.0,J00023,D:lognormal_from_declared_pairing_rule
0,J00023c1,9.7,J00023,D:lognormal_from_declared_pairing_rule
1,J00023c1,12.4,J00023,D:lognormal_from_declared_pairing_rule
2,J00023c1,19.0,J00023,D:lognormal_from_declared_pairing_rule
3,J00023c1,12.5,J00023,D:lognormal_from_declared_pairing_rule
4,J00023c1,8.6,J00023,D:lognormal_from_declared_pairing_rule
5,J00023c1,10.3,J00023,D:lognormal_from_declared_pairing_rule
6,J00023c1,15.4,J00023,D:lognormal_from_declared_pairing_rule
7,J00023c1,8.9,J00023,D:lognormal_from_declared_pairing_rule
8,J00023c1,12.5,J00023,D:lognormal_from_declared_pairing_rule
9,J00023c1,7.2,J00023,D:lognormal_from_declared_pairing_rule
10,J00023c1,11.1,J00023,D:lognormal_from_declared_pairing_rule
11,J00023c1,15.9,J00023,D:lognormal_from_declared_pairing_rule
12,J00023c1,10.2,J00023,D:lognormal_from_declared_pairing_rule
13,J00023c1,21.5,J00023,D:lognormal_from_declared_pairing_rule
14,J00023c1,13.3,J00023,D:lognormal_from_declared_pairing_rule
15,J00023c1,19.2,J00023,D:lognormal_from_declared_pairing_rule
16,J00023c1,23.0,J00023,D:lognormal_from_declared_pairing_rule
17,J00023c1,8.5,J00023,D:lognormal_from_declared_pairing_rule
18,J00023c1,11.8,J00023,D:lognormal_from_declared_pairing_rule
19,J00023c1,13.7,J00023,D:lognormal_from_declared_pairing_rule
20,J00023c1,11.0,J00023,D:lognormal_from_declared_pairing_rule
21,J00023c1,20.0,J00023,D:lognormal_from_declared_pairing_rule
22,J00023c1,14.6,J00023,D:lognormal_from_declared_pairing_rule
23,J00023c1,9.7,J00023,D:lognormal_from_declared_pairing_rule
24,J00023c1,9.5,J00023,D:lognormal_from_declared_pairing_rule
25,J00023c1,23.6,J00023,D:lognormal_from_declared_pairing_rule
26,J00023c1,16.4,J00023,D:lognormal_from_declared_pairing_rule
27,J00023c1,15.4,J00023,D:lognormal_from_declared_pairing_rule
28,J00023c1,16.8,J00023,D:lognormal_from_declared_pairing_rule
29,J00023c1,19.3,J00023,D:lognormal_from_declared_pairing_rule
0,J00024c0,16.6,J00024,D:lognormal_from_declared_pairing_rule
1,J00024c0,25.3,J00024,D:lognormal_from_declared_pairing_rule
2,J00024c0,19.6,J00024,D:lognormal_from_declared_pairing_rule
3,J00024c0,41.7,J00024,D:lognormal_from_declared_pairing_rule
4,J00024c0,17.8,J00024,D:lognormal_from_declared_pairing_rule
5,J00024c0,31.1,J00024,D:lognormal_from_declared_pairing_rule
6,J00024c0,17.6,J00024,D:lognormal_from_declared_pairing_rule
7,J00024c0,25.6,J00024,D:lognormal_from_declared_pairing_rule
