train_number,train_name,station_code,arrival_min,departure_min,day,stop_seq
16670,Yercaud Express,MAP,1374,1375,1,17
16670,Yercaud Express,DPI,1382,1382,1,18
16670,Yercaud Express,DST,1391,1391,1,19
16670,Yercaud Express,SLY,1399,1400,1,20
16670,Yercaud Express,KNNT,1407,1407,1,21
16670,Yercaud Express,KEY,1413,1413,1,22
16670,Yercaud Express,TPT,1424,1425,1,23
16670,Yercaud Express,JTJ,13,15,2,24
16321,Bangalore Tiruvananthapuram Weekly Express,JTJ,1282,1282,1,0
16321,Bangalore Tiruvananthapuram Weekly Express,TPT,1294,1295,1,1
16321,Bangalore Tiruvananthapuram Weekly Express,KEY,1304,1304,1,2
16321,Bangalore Tiruvananthapuram Weekly Express,KNNT,1309,1309,1,3
16321,Bangalore Tiruvananthapuram Weekly Express,SLY,1314,1314,1,4
16321,Bangalore Tiruvananthapuram Weekly Express,DST,1320,1320,1,5
16321,Bangalore Tiruvananthapuram Weekly Express,DPI,1327,1327,1,6
16321,Bangalore Tiruvananthapuram Weekly Express,MAP,1333,1333,1,7
16321,Bangalore Tiruvananthapuram Weekly Express,TNGR,1338,1338,1,8
16321,Bangalore Tiruvananthapuram Weekly Express,BDY,1343,1343,1,9
16321,Bangalore Tiruvananthapuram Weekly Express,BQI,1351,1351,1,10
16321,Bangalore Tiruvananthapuram Weekly Express,LCR,1359,1359,1,11
16321,Bangalore Tiruvananthapuram Weekly Express,DSPT,1366,1366,1,12
16321,Bangalore Tiruvananthapuram Weekly Express,TNT,1372,1372,1,13
16321,Bangalore Tiruvananthapuram Weekly Express,KPPR,1380,1380,1,14
16321,Bangalore Tiruvananthapuram Weekly Express,MGSJ,1382,1382,1,15
16321,Bangalore Tiruvananthapuram Weekly Express,SA,1385,1390,1,16
16321,Bangalore Tiruvananthapuram Weekly Express,NEA,1397,1397,1,17
16321,Bangalore Tiruvananthapuram Weekly Express,VRPD,1399,1399,1,18
16321,Bangalore Tiruvananthapuram Weekly Express,DC,1409,1409,1,19
16321,Bangalore Tiruvananthapuram Weekly Express,MVPM,1420,1420,1,20
16321,Bangalore Tiruvananthapuram Weekly Express,SGE,1424,1424,1,21
16321,Bangalore Tiruvananthapuram Weekly Express,ANU,1431,1431,1,22
16321,Bangalore Tiruvananthapuram Weekly Express,CV,0,0,2,23
16321,Bangalore Tiruvananthapuram Weekly Express,ED,5,10,2,24
19568,OKHA - TUTICORIN Exp,JTJ,1216,1216,2,0
19568,OKHA - TUTICORIN Exp,TPT,1224,1224,2,1
19568,OKHA - TUTICORIN Exp,MOLK,,,1,2
19568,OKHA - TUTICORIN Exp,KEY,1237,1237,2,3
19568,OKHA - TUTICORIN Exp,KNNT,1244,1244,2,4
19568,OKHA - TUTICORIN Exp,SLY,1251,1251,2,5
19568,OKHA - TUTICORIN Exp,DST,1261,1261,2,6
19568,OKHA - TUTICORIN Exp,DPI,1270,1270,2,7
19568,OKHA - TUTICORIN Exp,MAP,1279,1279,2,8
19568,OKHA - TUTICORIN Exp,TNGR,1286,1286,2,9
19568,OKHA - TUTICORIN Exp,BDY,1293,1293,2,10
19568,OKHA - TUTICORIN Exp,BQI,1305,1305,2,11
19568,OKHA - TUTICORIN Exp,LCR,1316,1316,2,12
19568,OKHA - TUTICORIN Exp,DSPT,1327,1327,2,13
19568,OKHA - TUTICORIN Exp,TNT,1335,1335,2,14
19568,OKHA - TUTICORIN Exp,KPPR,1347,1347,2,15
19568,OKHA - TUTICORIN Exp,MGSJ,1350,1350,2,16
19568,OKHA - TUTICORIN Exp,SA,1355,1360,2,17
19568,OKHA - TUTICORIN Exp,NEA,1368,1368,2,18
19568,OKHA - TUTICORIN Exp,VRPD,1372,1372,2,19
19568,OKHA - TUTICORIN Exp,DVBH,,,1,20
19568,OKHA - TUTICORIN Exp,DC,1384,1384,2,21
19568,OKHA - TUTICORIN Exp,MVPM,1398,1398,2,22
19568,OKHA - TUTICORIN Exp,SGE,1404,1404,2,23
19568,OKHA - TUTICORIN Exp,ANU,1413,1413,2,24
19568,OKHA - TUTICORIN Exp,CV,1425,1425,2,25
19568,OKHA - TUTICORIN Exp,ED,1430,5,2,26
16787,TIRUNELVELI - KATRA Exp,ED,105,185,2,0
16787,TIRUNELVELI - KATRA Exp,CV,189,189,2,1
16787,TIRUNELVELI - KATRA Exp,ANU,198,198,2,2
16787,TIRUNELVELI - KATRA Exp,SGE,205,205,2,3
16787,TIRUNELVELI - KATRA Exp,MVPM,210,210,2,4
16787,TIRUNELVELI - KATRA Exp,DC,220,220,2,5
16787,TIRUNELVELI - KATRA Exp,DVBH,,,1,6
16787,TIRUNELVELI - KATRA Exp,VRPD,230,230,2,7
16787,TIRUNELVELI - KATRA Exp,NEA,232,232,2,8
16787,TIRUNELVELI - KATRA Exp,SA,240,245,2,9
16787,TIRUNELVELI - KATRA Exp,MGSJ,248,248,2,10
16787,TIRUNELVELI - KATRA Exp,KPPR,251,251,2,11
16787,TIRUNELVELI - KATRA Exp,TNT,260,260,2,12
16787,TIRUNELVELI - KATRA Exp,DSPT,267,267,2,13
16787,TIRUNELVELI - KATRA Exp,LCR,275,275,2,14
16787,TIRUNELVELI - KATRA Exp,BQI,284,284,2,15
16787,TIRUNELVELI - KATRA Exp,BDY,294,294,2,16
16787,TIRUNELVELI - KATRA Exp,TNGR,299,299,2,17
16787,TIRUNELVELI - KATRA Exp,MAP,305,305,2,18
16787,TIRUNELVELI - KATRA Exp,DPI,312,312,2,19
16787,TIRUNELVELI - KATRA Exp,DST,319,319,2,20
16787,TIRUNELVELI - KATRA Exp,SLY,327,327,2,21
16787,TIRUNELVELI - KATRA Exp,KNNT,333,333,2,22
16787,TIRUNELVELI - KATRA Exp,KEY,338,338,2,23
16787,TIRUNELVELI - KATRA Exp,MOLK,,,1,24
16787,TIRUNELVELI - KATRA Exp,TPT,348,348,2,25
16787,TIRUNELVELI - KATRA Exp,JTJ,355,360,2,26
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,JTJ,508,510,3,0
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,TPT,515,515,3,1
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,MOLK,,,1,2
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,KEY,522,522,3,3
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,KNNT,526,526,3,4
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,SLY,531,531,3,5
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,DST,536,536,3,6
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,DPI,542,542,3,7
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,MAP,547,547,3,8
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,TNGR,551,551,3,9
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,BDY,555,555,3,10
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,BQI,562,562,3,11
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,LCR,569,569,3,12
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,DSPT,575,575,3,13
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,TNT,580,580,3,14
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,KPPR,587,587,3,15
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,MGSJ,589,589,3,16
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,SA,590,595,3,17
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,NEA,603,603,3,18
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,VRPD,607,607,3,19
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,DVBH,,,1,20
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,DC,619,619,3,21
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,MVPM,633,633,3,22
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,SGE,639,639,3,23
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,ANU,648,648,3,24
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,CV,660,660,3,25
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,ED,665,675,3,26
17229,Sabari Express,ED,1100,1110,1,0
17229,Sabari Express,CV,1114,1114,1,1
17229,Sabari Express,ANU,1124,1124,1,2
17229,Sabari Express,SGE,1131,1131,1,3
17229,Sabari Express,MVPM,1135,1135,1,4
17229,Sabari Express,DC,1146,1146,1,5
17229,Sabari Express,VRPD,1156,1156,1,6
17229,Sabari Express,NEA,1159,1159,1,7
17229,Sabari Express,SA,1165,1170,1,8
17229,Sabari Express,MGSJ,1172,1172,1,9
17229,Sabari Express,KPPR,1174,1174,1,10
17229,Sabari Express,TNT,1181,1181,1,11
17229,Sabari Express,DSPT,1185,1185,1,12
17229,Sabari Express,LCR,1192,1192,1,13
17229,Sabari Express,BQI,1198,1198,1,14
17229,Sabari Express,BDY,1205,1205,1,15
17229,Sabari Express,TNGR,1209,1209,1,16
17229,Sabari Express,MAP,1213,1215,1,17
17229,Sabari Express,DPI,1224,1224,1,18
17229,Sabari Express,DST,1234,1234,1,19
17229,Sabari Express,SLY,1244,1244,1,20
17229,Sabari Express,KNNT,1252,1252,1,21
17229,Sabari Express,KEY,1259,1259,1,22
17229,Sabari Express,TPT,1272,1272,1,23
17229,Sabari Express,JTJ,1280,1285,1,24
12970,Jaipur-Coimbatore Express,JTJ,798,800,3,0
12970,Jaipur-Coimbatore Express,TPT,806,806,3,1
12970,Jaipur-Coimbatore Express,KEY,814,814,3,2
12970,Jaipur-Coimbatore Express,KNNT,818,818,3,3
12970,Jaipur-Coimbatore Express,SLY,823,823,3,4
12970,Jaipur-Coimbatore Express,DST,830,830,3,5
12970,Jaipur-Coimbatore Express,DPI,836,836,3,6
12970,Jaipur-Coimbatore Express,MAP,841,841,3,7
12970,Jaipur-Coimbatore Express,TNGR,846,846,3,8
12970,Jaipur-Coimbatore Express,BDY,851,851,3,9
12970,Jaipur-Coimbatore Express,BQI,858,858,3,10
12970,Jaipur-Coimbatore Express,LCR,866,866,3,11
12970,Jaipur-Coimbatore Express,DSPT,873,873,3,12
12970,Jaipur-Coimbatore Express,TNT,879,879,3,13
12970,Jaipur-Coimbatore Express,KPPR,886,886,3,14
12970,Jaipur-Coimbatore Express,MGSJ,889,889,3,15
12970,Jaipur-Coimbatore Express,SA,890,895,3,16
12970,Jaipur-Coimbatore Express,NEA,901,901,3,17
12970,Jaipur-Coimbatore Express,VRPD,904,904,3,18
12970,Jaipur-Coimbatore Express,DC,914,914,3,19
12970,Jaipur-Coimbatore Express,MVPM,925,925,3,20
12970,Jaipur-Coimbatore Express,SGE,929,929,3,21
12970,Jaipur-Coimbatore Express,ANU,936,936,3,22
12970,Jaipur-Coimbatore Express,CV,945,945,3,23
12970,Jaipur-Coimbatore Express,ED,950,960,3,24
12511,Rapti Sagar Express,JTJ,195,200,3,0
12511,Rapti Sagar Express,TPT,205,205,3,1
12511,Rapti Sagar Express,KEY,213,213,3,2
12511,Rapti Sagar Express,KNNT,217,217,3,3
12511,Rapti Sagar Express,SLY,222,222,3,4
12511,Rapti Sagar Express,DST,228,228,3,5
12511,Rapti Sagar Express,DPI,234,234,3,6
12511,Rapti Sagar Express,MAP,239,239,3,7
12511,Rapti Sagar Express,TNGR,243,243,3,8
12511,Rapti Sagar Express,BDY,248,248,3,9
12511,Rapti Sagar Express,BQI,255,255,3,10
12511,Rapti Sagar Express,LCR,262,262,3,11
12511,Rapti Sagar Express,DSPT,269,269,3,12
12511,Rapti Sagar Express,TNT,274,274,3,13
12511,Rapti Sagar Express,KPPR,281,281,3,14
12511,Rapti Sagar Express,MGSJ,284,284,3,15
12511,Rapti Sagar Express,SA,285,290,3,16
12511,Rapti Sagar Express,NEA,299,299,3,17
12511,Rapti Sagar Express,VRPD,302,302,3,18
12511,Rapti Sagar Express,DC,315,315,3,19
12511,Rapti Sagar Express,MVPM,331,331,3,20
12511,Rapti Sagar Express,SGE,337,337,3,21
12511,Rapti Sagar Express,ANU,346,346,3,22
12511,Rapti Sagar Express,CV,358,358,3,23
12511,Rapti Sagar Express,ED,365,375,3,24
12625,Kerala Express,ED,1310,1320,1,0
12625,Kerala Express,CV,1324,1324,1,1
12625,Kerala Express,ANU,1334,1334,1,2
12625,Kerala Express,SGE,1341,1341,1,3
12625,Kerala Express,MVPM,1345,1345,1,4
12625,Kerala Express,DC,1356,1356,1,5
12625,Kerala Express,VRPD,1366,1366,1,6
12625,Kerala Express,NEA,1369,1369,1,7
12625,Kerala Express,SA,1375,1380,1,8
12625,Kerala Express,MGSJ,1383,1383,1,9
12625,Kerala Express,KPPR,1385,1385,1,10
12625,Kerala Express,TNT,1394,1394,1,11
12625,Kerala Express,DSPT,1400,1400,1,12
12625,Kerala Express,LCR,1408,1408,1,13
12625,Kerala Express,BQI,1416,1416,1,14
12625,Kerala Express,BDY,1425,1425,1,15
12625,Kerala Express,TNGR,1430,1430,1,16
12625,Kerala Express,MAP,1435,1435,1,17
12625,Kerala Express,DPI,1,1,2,18
12625,Kerala Express,DST,8,8,2,19
12625,Kerala Express,SLY,15,15,2,20
12625,Kerala Express,KNNT,21,21,2,21
12625,Kerala Express,KEY,26,26,2,22
12625,Kerala Express,TPT,35,35,2,23
12625,Kerala Express,JTJ,40,45,2,24
12601,Chennai Mangalore Mail,JTJ,1410,1412,1,0
12601,Chennai Mangalore Mail,TPT,1418,1418,1,1
12601,Chennai Mangalore Mail,KEY,1426,1426,1,2
12601,Chennai Mangalore Mail,KNNT,1431,1431,1,3
12601,Chennai Mangalore Mail,SLY,1436,1436,1,4
12601,Chennai Mangalore Mail,DST,3,3,2,5
12601,Chennai Mangalore Mail,DPI,9,9,2,6
12601,Chennai Mangalore Mail,MAP,15,15,2,7
12601,Chennai Mangalore Mail,TNGR,20,20,2,8
12601,Chennai Mangalore Mail,BDY,25,25,2,9
12601,Chennai Mangalore Mail,BQI,32,32,2,10
12601,Chennai Mangalore Mail,LCR,40,40,2,11
12601,Chennai Mangalore Mail,DSPT,48,48,2,12
12601,Chennai Mangalore Mail,TNT,53,53,2,13
12601,Chennai Mangalore Mail,KPPR,61,61,2,14
12601,Chennai Mangalore Mail,MGSJ,64,64,2,15
12601,Chennai Mangalore Mail,SA,65,70,2,16
12601,Chennai Mangalore Mail,NEA,77,77,2,17
12601,Chennai Mangalore Mail,VRPD,79,79,2,18
12601,Chennai Mangalore Mail,DC,89,89,2,19
12601,Chennai Mangalore Mail,MVPM,100,100,2,20
12601,Chennai Mangalore Mail,SGE,105,105,2,21
12601,Chennai Mangalore Mail,ANU,112,112,2,22
12601,Chennai Mangalore Mail,CV,121,121,2,23
12601,Chennai Mangalore Mail,ED,125,130,2,24
16627,West Coast Express,JTJ,888,890,1,0
16627,West Coast Express,TPT,903,905,1,1
16627,West Coast Express,KEY,913,913,1,2
16627,West Coast Express,KNNT,917,917,1,3
16627,West Coast Express,SLY,922,922,1,4
16627,West Coast Express,DST,928,928,1,5
16627,West Coast Express,DPI,933,933,1,6
16627,West Coast Express,MAP,938,940,1,7
16627,West Coast Express,TNGR,945,945,1,8
16627,West Coast Express,BDY,950,950,1,9
16627,West Coast Express,BQI,958,960,1,10
16627,West Coast Express,LCR,969,969,1,11
16627,West Coast Express,DSPT,978,978,1,12
16627,West Coast Express,TNT,984,984,1,13
16627,West Coast Express,KPPR,994,994,1,14
16627,West Coast Express,MGSJ,997,997,1,15
16627,West Coast Express,SA,1000,1005,1,16
16627,West Coast Express,NEA,1011,1011,1,17
16627,West Coast Express,VRPD,1013,1013,1,18
16627,West Coast Express,DC,1022,1022,1,19
16627,West Coast Express,MVPM,1032,1032,1,20
16627,West Coast Express,SGE,1038,1040,1,21
16627,West Coast Express,ANU,1055,1055,1,22
16627,West Coast Express,CV,1075,1075,1,23
16627,West Coast Express,ED,1080,1090,1,24
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,ED,445,450,1,0
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,CV,454,454,1,1
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,ANU,463,463,1,2
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,SGE,470,470,1,3
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,MVPM,475,475,1,4
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,DC,486,486,1,5
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,VRPD,495,495,1,6
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,NEA,498,498,1,7
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,SA,505,510,1,8
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,MGSJ,513,513,1,9
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,KPPR,515,515,1,10
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,TNT,524,524,1,11
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,DSPT,530,530,1,12
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,LCR,538,538,1,13
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,BQI,546,546,1,14
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,BDY,555,555,1,15
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,TNGR,560,560,1,16
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,MAP,565,565,1,17
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,DPI,572,572,1,18
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,DST,579,579,1,19
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,SLY,586,586,1,20
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,KNNT,591,591,1,21
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,KEY,596,596,1,22
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,TPT,605,605,1,23
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,JTJ,612,612,1,24
17230,Sabari Express,JTJ,228,230,2,0
17230,Sabari Express,TPT,235,235,2,1
17230,Sabari Express,KEY,243,243,2,2
17230,Sabari Express,KNNT,248,248,2,3
17230,Sabari Express,SLY,252,252,2,4
17230,Sabari Express,DST,259,259,2,5
17230,Sabari Express,DPI,265,265,2,6
17230,Sabari Express,MAP,269,270,2,7
17230,Sabari Express,TNGR,275,275,2,8
17230,Sabari Express,BDY,281,281,2,9
17230,Sabari Express,BQI,289,289,2,10
17230,Sabari Express,LCR,298,298,2,11
17230,Sabari Express,DSPT,305,305,2,12
17230,Sabari Express,TNT,311,311,2,13
17230,Sabari Express,KPPR,320,320,2,14
17230,Sabari Express,MGSJ,323,323,2,15
17230,Sabari Express,SA,325,330,2,16
17230,Sabari Express,NEA,338,338,2,17
17230,Sabari Express,VRPD,341,341,2,18
17230,Sabari Express,DC,352,352,2,19
17230,Sabari Express,MVPM,366,366,2,20
17230,Sabari Express,SGE,371,371,2,21
17230,Sabari Express,ANU,379,379,2,22
17230,Sabari Express,CV,390,390,2,23
17230,Sabari Express,ED,395,405,2,24
06012,Kollam Chennai Central (Weekly) SF Special,ED,1280,1285,1,0
06012,Kollam Chennai Central (Weekly) SF Special,CV,1289,1289,1,1
06012,Kollam Chennai Central (Weekly) SF Special,ANU,1298,1298,1,2
06012,Kollam Chennai Central (Weekly) SF Special,SGE,1305,1305,1,3
06012,Kollam Chennai Central (Weekly) SF Special,MVPM,1310,1310,1,4
06012,Kollam Chennai Central (Weekly) SF Special,DC,1320,1320,1,5
06012,Kollam Chennai Central (Weekly) SF Special,VRPD,1330,1330,1,6
06012,Kollam Chennai Central (Weekly) SF Special,NEA,1332,1332,1,7
06012,Kollam Chennai Central (Weekly) SF Special,SA,1340,1345,1,8
06012,Kollam Chennai Central (Weekly) SF Special,MGSJ,1347,1347,1,9
06012,Kollam Chennai Central (Weekly) SF Special,KPPR,1350,1350,1,10
06012,Kollam Chennai Central (Weekly) SF Special,TNT,1357,1357,1,11
06012,Kollam Chennai Central (Weekly) SF Special,DSPT,1362,1362,1,12
06012,Kollam Chennai Central (Weekly) SF Special,LCR,1369,1369,1,13
06012,Kollam Chennai Central (Weekly) SF Special,BQI,1377,1377,1,14
06012,Kollam Chennai Central (Weekly) SF Special,BDY,1384,1384,1,15
06012,Kollam Chennai Central (Weekly) SF Special,TNGR,1389,1389,1,16
06012,Kollam Chennai Central (Weekly) SF Special,MAP,1393,1393,1,17
06012,Kollam Chennai Central (Weekly) SF Special,DPI,1398,1398,1,18
06012,Kollam Chennai Central (Weekly) SF Special,DST,1404,1404,1,19
06012,Kollam Chennai Central (Weekly) SF Special,SLY,1411,1411,1,20
06012,Kollam Chennai Central (Weekly) SF Special,KNNT,1415,1415,1,21
06012,Kollam Chennai Central (Weekly) SF Special,KEY,1420,1420,1,22
06012,Kollam Chennai Central (Weekly) SF Special,TPT,1428,1428,1,23
06012,Kollam Chennai Central (Weekly) SF Special,JTJ,1433,1435,1,24
16322,Tiruvananthapuram Bangalore Weekly Express,ED,155,160,2,0
16322,Tiruvananthapuram Bangalore Weekly Express,CV,164,164,2,1
16322,Tiruvananthapuram Bangalore Weekly Express,ANU,173,173,2,2
16322,Tiruvananthapuram Bangalore Weekly Express,SGE,180,180,2,3
16322,Tiruvananthapuram Bangalore Weekly Express,MVPM,185,185,2,4
16322,Tiruvananthapuram Bangalore Weekly Express,DC,196,196,2,5
16322,Tiruvananthapuram Bangalore Weekly Express,VRPD,205,205,2,6
16322,Tiruvananthapuram Bangalore Weekly Express,NEA,208,208,2,7
16322,Tiruvananthapuram Bangalore Weekly Express,SA,215,220,2,8
16322,Tiruvananthapuram Bangalore Weekly Express,MGSJ,222,222,2,9
16322,Tiruvananthapuram Bangalore Weekly Express,KPPR,225,225,2,10
