train_number,train_class,from_code,to_code,direction,enter_min,is_synthetic
16670,EXPRESS,MGSJ,SA,UP,1320,False
16670,EXPRESS,KPPR,MGSJ,UP,1323,False
16670,EXPRESS,TNT,KPPR,UP,1325,False
16670,EXPRESS,DSPT,TNT,UP,1333,False
16670,EXPRESS,LCR,DSPT,UP,1339,False
16670,EXPRESS,BQI,LCR,UP,1346,False
16670,EXPRESS,BDY,BQI,UP,1355,False
16670,EXPRESS,TNGR,BDY,UP,1365,False
16670,EXPRESS,MAP,TNGR,UP,1369,False
16670,EXPRESS,DPI,MAP,UP,1375,False
16670,EXPRESS,DST,DPI,UP,1382,False
16670,EXPRESS,SLY,DST,UP,1391,False
16670,EXPRESS,KNNT,SLY,UP,1400,False
16670,EXPRESS,KEY,KNNT,UP,1407,False
16670,EXPRESS,TPT,KEY,UP,1413,False
16670,EXPRESS,JTJ,TPT,UP,1425,False
16321,EXPRESS,JTJ,TPT,DN,1282,False
16321,EXPRESS,TPT,KEY,DN,1295,False
16321,EXPRESS,KEY,KNNT,DN,1304,False
16321,EXPRESS,KNNT,SLY,DN,1309,False
16321,EXPRESS,SLY,DST,DN,1314,False
16321,EXPRESS,DST,DPI,DN,1320,False
16321,EXPRESS,DPI,MAP,DN,1327,False
16321,EXPRESS,MAP,TNGR,DN,1333,False
16321,EXPRESS,TNGR,BDY,DN,1338,False
16321,EXPRESS,BDY,BQI,DN,1343,False
16321,EXPRESS,BQI,LCR,DN,1351,False
16321,EXPRESS,LCR,DSPT,DN,1359,False
16321,EXPRESS,DSPT,TNT,DN,1366,False
16321,EXPRESS,TNT,KPPR,DN,1372,False
16321,EXPRESS,KPPR,MGSJ,DN,1380,False
16321,EXPRESS,MGSJ,SA,DN,1382,False
16321,EXPRESS,SA,NEA,DN,1390,False
16321,EXPRESS,NEA,VRPD,DN,1397,False
16321,EXPRESS,VRPD,DC,DN,1399,False
16321,EXPRESS,DC,MVPM,DN,1409,False
16321,EXPRESS,MVPM,SGE,DN,1420,False
16321,EXPRESS,SGE,ANU,DN,1424,False
16321,EXPRESS,ANU,CV,DN,1431,False
16321,EXPRESS,CV,ED,DN,0,False
19568,EXPRESS,JTJ,TPT,DN,1216,False
19568,EXPRESS,TPT,MOLK,DN,1224,False
19568,EXPRESS,KEY,KNNT,DN,1237,False
19568,EXPRESS,KNNT,SLY,DN,1244,False
19568,EXPRESS,SLY,DST,DN,1251,False
19568,EXPRESS,DST,DPI,DN,1261,False
19568,EXPRESS,DPI,MAP,DN,1270,False
19568,EXPRESS,MAP,TNGR,DN,1279,False
19568,EXPRESS,TNGR,BDY,DN,1286,False
19568,EXPRESS,BDY,BQI,DN,1293,False
19568,EXPRESS,BQI,LCR,DN,1305,False
19568,EXPRESS,LCR,DSPT,DN,1316,False
19568,EXPRESS,DSPT,TNT,DN,1327,False
19568,EXPRESS,TNT,KPPR,DN,1335,False
19568,EXPRESS,KPPR,MGSJ,DN,1347,False
19568,EXPRESS,MGSJ,SA,DN,1350,False
19568,EXPRESS,SA,NEA,DN,1360,False
19568,EXPRESS,NEA,VRPD,DN,1368,False
19568,EXPRESS,VRPD,DVBH,DN,1372,False
19568,EXPRESS,DC,MVPM,DN,1384,False
19568,EXPRESS,MVPM,SGE,DN,1398,False
19568,EXPRESS,SGE,ANU,DN,1404,False
19568,EXPRESS,ANU,CV,DN,1413,False
19568,EXPRESS,CV,ED,DN,1425,False
16787,EXPRESS,CV,ED,UP,185,False
16787,EXPRESS,ANU,CV,UP,189,False
16787,EXPRESS,SGE,ANU,UP,198,False
16787,EXPRESS,MVPM,SGE,UP,205,False
16787,EXPRESS,DC,MVPM,UP,210,False
16787,EXPRESS,DVBH,DC,UP,220,False
16787,EXPRESS,NEA,VRPD,UP,230,False
16787,EXPRESS,SA,NEA,UP,232,False
16787,EXPRESS,MGSJ,SA,UP,245,False
16787,EXPRESS,KPPR,MGSJ,UP,248,False
16787,EXPRESS,TNT,KPPR,UP,251,False
16787,EXPRESS,DSPT,TNT,UP,260,False
16787,EXPRESS,LCR,DSPT,UP,267,False
16787,EXPRESS,BQI,LCR,UP,275,False
16787,EXPRESS,BDY,BQI,UP,284,False
16787,EXPRESS,TNGR,BDY,UP,294,False
16787,EXPRESS,MAP,TNGR,UP,299,False
16787,EXPRESS,DPI,MAP,UP,305,False
16787,EXPRESS,DST,DPI,UP,312,False
16787,EXPRESS,SLY,DST,UP,319,False
16787,EXPRESS,KNNT,SLY,UP,327,False
16787,EXPRESS,KEY,KNNT,UP,333,False
16787,EXPRESS,MOLK,KEY,UP,338,False
16787,EXPRESS,JTJ,TPT,UP,348,False
12516,EXPRESS,JTJ,TPT,DN,510,False
12516,EXPRESS,TPT,MOLK,DN,515,False
12516,EXPRESS,KEY,KNNT,DN,522,False
12516,EXPRESS,KNNT,SLY,DN,526,False
12516,EXPRESS,SLY,DST,DN,531,False
12516,EXPRESS,DST,DPI,DN,536,False
12516,EXPRESS,DPI,MAP,DN,542,False
12516,EXPRESS,MAP,TNGR,DN,547,False
12516,EXPRESS,TNGR,BDY,DN,551,False
12516,EXPRESS,BDY,BQI,DN,555,False
12516,EXPRESS,BQI,LCR,DN,562,False
12516,EXPRESS,LCR,DSPT,DN,569,False
12516,EXPRESS,DSPT,TNT,DN,575,False
12516,EXPRESS,TNT,KPPR,DN,580,False
12516,EXPRESS,KPPR,MGSJ,DN,587,False
12516,EXPRESS,MGSJ,SA,DN,589,False
12516,EXPRESS,SA,NEA,DN,595,False
12516,EXPRESS,NEA,VRPD,DN,603,False
12516,EXPRESS,VRPD,DVBH,DN,607,False
12516,EXPRESS,DC,MVPM,DN,619,False
12516,EXPRESS,MVPM,SGE,DN,633,False
12516,EXPRESS,SGE,ANU,DN,639,False
12516,EXPRESS,ANU,CV,DN,648,False
12516,EXPRESS,CV,ED,DN,660,False
17229,EXPRESS,CV,ED,UP,1110,False
17229,EXPRESS,ANU,CV,UP,1114,False
17229,EXPRESS,SGE,ANU,UP,1124,False
17229,EXPRESS,MVPM,SGE,UP,1131,False
17229,EXPRESS,DC,MVPM,UP,1135,False
17229,EXPRESS,VRPD,DC,UP,1146,False
17229,EXPRESS,NEA,VRPD,UP,1156,False
17229,EXPRESS,SA,NEA,UP,1159,False
17229,EXPRESS,MGSJ,SA,UP,1170,False
17229,EXPRESS,KPPR,MGSJ,UP,1172,False
17229,EXPRESS,TNT,KPPR,UP,1174,False
17229,EXPRESS,DSPT,TNT,UP,1181,False
17229,EXPRESS,LCR,DSPT,UP,1185,False
17229,EXPRESS,BQI,LCR,UP,1192,False
17229,EXPRESS,BDY,BQI,UP,1198,False
17229,EXPRESS,TNGR,BDY,UP,1205,False
17229,EXPRESS,MAP,TNGR,UP,1209,False
17229,EXPRESS,DPI,MAP,UP,1215,False
17229,EXPRESS,DST,DPI,UP,1224,False
17229,EXPRESS,SLY,DST,UP,1234,False
17229,EXPRESS,KNNT,SLY,UP,1244,False
17229,EXPRESS,KEY,KNNT,UP,1252,False
17229,EXPRESS,TPT,KEY,UP,1259,False
17229,EXPRESS,JTJ,TPT,UP,1272,False
12970,EXPRESS,JTJ,TPT,DN,800,False
12970,EXPRESS,TPT,KEY,DN,806,False
12970,EXPRESS,KEY,KNNT,DN,814,False
12970,EXPRESS,KNNT,SLY,DN,818,False
12970,EXPRESS,SLY,DST,DN,823,False
12970,EXPRESS,DST,DPI,DN,830,False
12970,EXPRESS,DPI,MAP,DN,836,False
12970,EXPRESS,MAP,TNGR,DN,841,False
12970,EXPRESS,TNGR,BDY,DN,846,False
12970,EXPRESS,BDY,BQI,DN,851,False
12970,EXPRESS,BQI,LCR,DN,858,False
12970,EXPRESS,LCR,DSPT,DN,866,False
12970,EXPRESS,DSPT,TNT,DN,873,False
12970,EXPRESS,TNT,KPPR,DN,879,False
12970,EXPRESS,KPPR,MGSJ,DN,886,False
12970,EXPRESS,MGSJ,SA,DN,889,False
12970,EXPRESS,SA,NEA,DN,895,False
12970,EXPRESS,NEA,VRPD,DN,901,False
12970,EXPRESS,VRPD,DC,DN,904,False
12970,EXPRESS,DC,MVPM,DN,914,False
12970,EXPRESS,MVPM,SGE,DN,925,False
12970,EXPRESS,SGE,ANU,DN,929,False
12970,EXPRESS,ANU,CV,DN,936,False
12970,EXPRESS,CV,ED,DN,945,False
12511,EXPRESS,JTJ,TPT,DN,200,False
12511,EXPRESS,TPT,KEY,DN,205,False
12511,EXPRESS,KEY,KNNT,DN,213,False
12511,EXPRESS,KNNT,SLY,DN,217,False
12511,EXPRESS,SLY,DST,DN,222,False
12511,EXPRESS,DST,DPI,DN,228,False
12511,EXPRESS,DPI,MAP,DN,234,False
12511,EXPRESS,MAP,TNGR,DN,239,False
12511,EXPRESS,TNGR,BDY,DN,243,False
12511,EXPRESS,BDY,BQI,DN,248,False
12511,EXPRESS,BQI,LCR,DN,255,False
12511,EXPRESS,LCR,DSPT,DN,262,False
12511,EXPRESS,DSPT,TNT,DN,269,False
12511,EXPRESS,TNT,KPPR,DN,274,False
12511,EXPRESS,KPPR,MGSJ,DN,281,False
12511,EXPRESS,MGSJ,SA,DN,284,False
12511,EXPRESS,SA,NEA,DN,290,False
12511,EXPRESS,NEA,VRPD,DN,299,False
12511,EXPRESS,VRPD,DC,DN,302,False
12511,EXPRESS,DC,MVPM,DN,315,False
12511,EXPRESS,MVPM,SGE,DN,331,False
12511,EXPRESS,SGE,ANU,DN,337,False
12511,EXPRESS,ANU,CV,DN,346,False
12511,EXPRESS,CV,ED,DN,358,False
12625,EXPRESS,CV,ED,UP,1320,False
12625,EXPRESS,ANU,CV,UP,1324,False
12625,EXPRESS,SGE,ANU,UP,1334,False
12625,EXPRESS,MVPM,SGE,UP,1341,False
12625,EXPRESS,DC,MVPM,UP,1345,False
12625,EXPRESS,VRPD,DC,UP,1356,False
12625,EXPRESS,NEA,VRPD,UP,1366,False
12625,EXPRESS,SA,NEA,UP,1369,False
12625,EXPRESS,MGSJ,SA,UP,1380,False
12625,EXPRESS,KPPR,MGSJ,UP,1383,False
12625,EXPRESS,TNT,KPPR,UP,1385,False
12625,EXPRESS,DSPT,TNT,UP,1394,False
12625,EXPRESS,LCR,DSPT,UP,1400,False
12625,EXPRESS,BQI,LCR,UP,1408,False
12625,EXPRESS,BDY,BQI,UP,1416,False
12625,EXPRESS,TNGR,BDY,UP,1425,False
12625,EXPRESS,MAP,TNGR,UP,1430,False
12625,EXPRESS,DPI,MAP,UP,1435,False
12625,EXPRESS,DST,DPI,UP,1,False
12625,EXPRESS,SLY,DST,UP,8,False
12625,EXPRESS,KNNT,SLY,UP,15,False
12625,EXPRESS,KEY,KNNT,UP,21,False
12625,EXPRESS,TPT,KEY,UP,26,False
12625,EXPRESS,JTJ,TPT,UP,35,False
12601,MAIL,JTJ,TPT,DN,1412,False
12601,MAIL,TPT,KEY,DN,1418,False
12601,MAIL,KEY,KNNT,DN,1426,False
12601,MAIL,KNNT,SLY,DN,1431,False
12601,MAIL,SLY,DST,DN,1436,False
12601,MAIL,DST,DPI,DN,3,False
12601,MAIL,DPI,MAP,DN,9,False
12601,MAIL,MAP,TNGR,DN,15,False
12601,MAIL,TNGR,BDY,DN,20,False
12601,MAIL,BDY,BQI,DN,25,False
12601,MAIL,BQI,LCR,DN,32,False
12601,MAIL,LCR,DSPT,DN,40,False
12601,MAIL,DSPT,TNT,DN,48,False
12601,MAIL,TNT,KPPR,DN,53,False
12601,MAIL,KPPR,MGSJ,DN,61,False
12601,MAIL,MGSJ,SA,DN,64,False
12601,MAIL,SA,NEA,DN,70,False
12601,MAIL,NEA,VRPD,DN,77,False
12601,MAIL,VRPD,DC,DN,79,False
12601,MAIL,DC,MVPM,DN,89,False
12601,MAIL,MVPM,SGE,DN,100,False
12601,MAIL,SGE,ANU,DN,105,False
12601,MAIL,ANU,CV,DN,112,False
12601,MAIL,CV,ED,DN,121,False
16627,EXPRESS,JTJ,TPT,DN,890,False
16627,EXPRESS,TPT,KEY,DN,905,False
16627,EXPRESS,KEY,KNNT,DN,913,False
16627,EXPRESS,KNNT,SLY,DN,917,False
16627,EXPRESS,SLY,DST,DN,922,False
16627,EXPRESS,DST,DPI,DN,928,False
16627,EXPRESS,DPI,MAP,DN,933,False
16627,EXPRESS,MAP,TNGR,DN,940,False
16627,EXPRESS,TNGR,BDY,DN,945,False
16627,EXPRESS,BDY,BQI,DN,950,False
16627,EXPRESS,BQI,LCR,DN,960,False
16627,EXPRESS,LCR,DSPT,DN,969,False
16627,EXPRESS,DSPT,TNT,DN,978,False
16627,EXPRESS,TNT,KPPR,DN,984,False
16627,EXPRESS,KPPR,MGSJ,DN,994,False
16627,EXPRESS,MGSJ,SA,DN,997,False
16627,EXPRESS,SA,NEA,DN,1005,False
16627,EXPRESS,NEA,VRPD,DN,1011,False
16627,EXPRESS,VRPD,DC,DN,1013,False
16627,EXPRESS,DC,MVPM,DN,1022,False
16627,EXPRESS,MVPM,SGE,DN,1032,False
16627,EXPRESS,SGE,ANU,DN,1040,False
16627,EXPRESS,ANU,CV,DN,1055,False
16627,EXPRESS,CV,ED,DN,1075,False
12758,SUPERFAST,CV,ED,UP,450,False
12758,SUPERFAST,ANU,CV,UP,454,False
12758,SUPERFAST,SGE,ANU,UP,463,False
12758,SUPERFAST,MVPM,SGE,UP,470,False
12758,SUPERFAST,DC,MVPM,UP,475,False
12758,SUPERFAST,VRPD,DC,UP,486,False
12758,SUPERFAST,NEA,VRPD,UP,495,False
12758,SUPERFAST,SA,NEA,UP,498,False
12758,SUPERFAST,MGSJ,SA,UP,510,False
12758,SUPERFAST,KPPR,MGSJ,UP,513,False
12758,SUPERFAST,TNT,KPPR,UP,515,False
12758,SUPERFAST,DSPT,TNT,UP,524,False
12758,SUPERFAST,LCR,DSPT,UP,530,False
12758,SUPERFAST,BQI,LCR,UP,538,False
12758,SUPERFAST,BDY,BQI,UP,546,False
12758,SUPERFAST,TNGR,BDY,UP,555,False
12758,SUPERFAST,MAP,TNGR,UP,560,False
12758,SUPERFAST,DPI,MAP,UP,565,False
12758,SUPERFAST,DST,DPI,UP,572,False
12758,SUPERFAST,SLY,DST,UP,579,False
12758,SUPERFAST,KNNT,SLY,UP,586,False
12758,SUPERFAST,KEY,KNNT,UP,591,False
12758,SUPERFAST,TPT,KEY,UP,596,False
12758,SUPERFAST,JTJ,TPT,UP,605,False
17230,EXPRESS,JTJ,TPT,DN,230,False
17230,EXPRESS,TPT,KEY,DN,235,False
17230,EXPRESS,KEY,KNNT,DN,243,False
17230,EXPRESS,KNNT,SLY,DN,248,False
17230,EXPRESS,SLY,DST,DN,252,False
17230,EXPRESS,DST,DPI,DN,259,False
17230,EXPRESS,DPI,MAP,DN,265,False
17230,EXPRESS,MAP,TNGR,DN,270,False
17230,EXPRESS,TNGR,BDY,DN,275,False
17230,EXPRESS,BDY,BQI,DN,281,False
17230,EXPRESS,BQI,LCR,DN,289,False
17230,EXPRESS,LCR,DSPT,DN,298,False
17230,EXPRESS,DSPT,TNT,DN,305,False
17230,EXPRESS,TNT,KPPR,DN,311,False
17230,EXPRESS,KPPR,MGSJ,DN,320,False
17230,EXPRESS,MGSJ,SA,DN,323,False
17230,EXPRESS,SA,NEA,DN,330,False
17230,EXPRESS,NEA,VRPD,DN,338,False
17230,EXPRESS,VRPD,DC,DN,341,False
17230,EXPRESS,DC,MVPM,DN,352,False
17230,EXPRESS,MVPM,SGE,DN,366,False
17230,EXPRESS,SGE,ANU,DN,371,False
17230,EXPRESS,ANU,CV,DN,379,False
17230,EXPRESS,CV,ED,DN,390,False
06012,SUPERFAST,CV,ED,UP,1285,False
06012,SUPERFAST,ANU,CV,UP,1289,False
06012,SUPERFAST,SGE,ANU,UP,1298,False
06012,SUPERFAST,MVPM,SGE,UP,1305,False
06012,SUPERFAST,DC,MVPM,UP,1310,False
06012,SUPERFAST,VRPD,DC,UP,1320,False
06012,SUPERFAST,NEA,VRPD,UP,1330,False
06012,SUPERFAST,SA,NEA,UP,1332,False
06012,SUPERFAST,MGSJ,SA,UP,1345,False
06012,SUPERFAST,KPPR,MGSJ,UP,1347,False
06012,SUPERFAST,TNT,KPPR,UP,1350,False
06012,SUPERFAST,DSPT,TNT,UP,1357,False
06012,SUPERFAST,LCR,DSPT,UP,1362,False
06012,SUPERFAST,BQI,LCR,UP,1369,False
06012,SUPERFAST,BDY,BQI,UP,1377,False
06012,SUPERFAST,TNGR,BDY,UP,1384,False
06012,SUPERFAST,MAP,TNGR,UP,1389,False
06012,SUPERFAST,DPI,MAP,UP,1393,False
06012,SUPERFAST,DST,DPI,UP,1398,False
06012,SUPERFAST,SLY,DST,UP,1404,False
06012,SUPERFAST,KNNT,SLY,UP,1411,False
06012,SUPERFAST,KEY,KNNT,UP,1415,False
06012,SUPERFAST,TPT,KEY,UP,1420,False
06012,SUPERFAST,JTJ,TPT,UP,1428,False
16322,EXPRESS,CV,ED,UP,160,False
16322,EXPRESS,ANU,CV,UP,164,False
16322,EXPRESS,SGE,ANU,UP,173,False
16322,EXPRESS,MVPM,SGE,UP,180,False
16322,EXPRESS,DC,MVPM,UP,185,False
16322,EXPRESS,VRPD,DC,UP,196,False
16322,EXPRESS,NEA,VRPD,UP,205,False
16322,EXPRESS,SA,NEA,UP,208,False
16322,EXPRESS,MGSJ,SA,UP,220,False
16322,EXPRESS,KPPR,MGSJ,UP,222,False
16322,EXPRESS,TNT,KPPR,UP,225,False
16322,EXPRESS,DSPT,TNT,UP,232,False
16322,EXPRESS,LCR,DSPT,UP,238,False
16322,EXPRESS,BQI,LCR,UP,245,False
16322,EXPRESS,BDY,BQI,UP,252,False
16322,EXPRESS,TNGR,BDY,UP,260,False
16322,EXPRESS,MAP,TNGR,UP,264,False
16322,EXPRESS,DPI,MAP,UP,269,False
16322,EXPRESS,DST,DPI,UP,275,False
16322,EXPRESS,SLY,DST,UP,281,False
16322,EXPRESS,KNNT,SLY,UP,287,False
16322,EXPRESS,KEY,KNNT,UP,292,False
16322,EXPRESS,TPT,KEY,UP,296,False
16322,EXPRESS,JTJ,TPT,UP,305,False
12679,EXPRESS,JTJ,TPT,DN,1055,False
12679,EXPRESS,TPT,KEY,DN,1060,False
12679,EXPRESS,KEY,KNNT,DN,1068,False
12679,EXPRESS,KNNT,SLY,DN,1073,False
12679,EXPRESS,SLY,DST,DN,1077,False
12679,EXPRESS,DST,DPI,DN,1084,False
12679,EXPRESS,DPI,MAP,DN,1090,False
12679,EXPRESS,MAP,TNGR,DN,1095,False
12679,EXPRESS,TNGR,BDY,DN,1100,False
12679,EXPRESS,BDY,BQI,DN,1106,False
12679,EXPRESS,BQI,LCR,DN,1115,False
12679,EXPRESS,LCR,DSPT,DN,1125,False
12679,EXPRESS,DSPT,TNT,DN,1134,False
12679,EXPRESS,TNT,KPPR,DN,1141,False
12679,EXPRESS,KPPR,MGSJ,DN,1150,False
12679,EXPRESS,MGSJ,SA,DN,1153,False
12679,EXPRESS,SA,NEA,DN,1160,False
12679,EXPRESS,NEA,VRPD,DN,1167,False
12679,EXPRESS,VRPD,DC,DN,1170,False
12679,EXPRESS,DC,MVPM,DN,1181,False
12679,EXPRESS,MVPM,SGE,DN,1193,False
12679,EXPRESS,SGE,ANU,DN,1198,False
12679,EXPRESS,ANU,CV,DN,1206,False
12679,EXPRESS,CV,ED,DN,1215,False
06621,SUPERFAST,CV,ED,UP,450,False
06621,SUPERFAST,ANU,CV,UP,454,False
06621,SUPERFAST,SGE,ANU,UP,463,False
06621,SUPERFAST,MVPM,SGE,UP,470,False
06621,SUPERFAST,DC,MVPM,UP,475,False
06621,SUPERFAST,VRPD,DC,UP,486,False
06621,SUPERFAST,NEA,VRPD,UP,495,False
06621,SUPERFAST,SA,NEA,UP,498,False
06621,SUPERFAST,MGSJ,SA,UP,510,False
06621,SUPERFAST,KPPR,MGSJ,UP,512,False
06621,SUPERFAST,TNT,KPPR,UP,515,False
06621,SUPERFAST,DSPT,TNT,UP,522,False
06621,SUPERFAST,LCR,DSPT,UP,528,False
06621,SUPERFAST,BQI,LCR,UP,535,False
06621,SUPERFAST,BDY,BQI,UP,542,False
06621,SUPERFAST,TNGR,BDY,UP,550,False
06621,SUPERFAST,MAP,TNGR,UP,554,False
06621,SUPERFAST,DPI,MAP,UP,560,False
06621,SUPERFAST,DST,DPI,UP,566,False
06621,SUPERFAST,SLY,DST,UP,573,False
06621,SUPERFAST,KNNT,SLY,UP,580,False
06621,SUPERFAST,KEY,KNNT,UP,585,False
06621,SUPERFAST,TPT,KEY,UP,590,False
06621,SUPERFAST,JTJ,TPT,UP,600,False
12685,EXPRESS,JTJ,TPT,DN,1197,False
12685,EXPRESS,TPT,KEY,DN,1203,False
12685,EXPRESS,KEY,KNNT,DN,1212,False
12685,EXPRESS,KNNT,SLY,DN,1216,False
12685,EXPRESS,SLY,DST,DN,1221,False
12685,EXPRESS,DST,DPI,DN,1228,False
12685,EXPRESS,DPI,MAP,DN,1235,False
12685,EXPRESS,MAP,TNGR,DN,1240,False
12685,EXPRESS,TNGR,BDY,DN,1245,False
12685,EXPRESS,BDY,BQI,DN,1251,False
12685,EXPRESS,BQI,LCR,DN,1259,False
12685,EXPRESS,LCR,DSPT,DN,1268,False
12685,EXPRESS,DSPT,TNT,DN,1275,False
12685,EXPRESS,TNT,KPPR,DN,1281,False
12685,EXPRESS,KPPR,MGSJ,DN,1290,False
12685,EXPRESS,MGSJ,SA,DN,1293,False
12685,EXPRESS,SA,NEA,DN,1300,False
12685,EXPRESS,NEA,VRPD,DN,1307,False
12685,EXPRESS,VRPD,DC,DN,1310,False
12685,EXPRESS,DC,MVPM,DN,1321,False
12685,EXPRESS,MVPM,SGE,DN,1333,False
12685,EXPRESS,SGE,ANU,DN,1338,False
12685,EXPRESS,ANU,CV,DN,1346,False
12685,EXPRESS,CV,ED,DN,1355,False
12686,EXPRESS,CV,ED,UP,105,False
12686,EXPRESS,ANU,CV,UP,109,False
12686,EXPRESS,SGE,ANU,UP,118,False
12686,EXPRESS,MVPM,SGE,UP,125,False
12686,EXPRESS,DC,MVPM,UP,130,False
12686,EXPRESS,VRPD,DC,UP,141,False
12686,EXPRESS,NEA,VRPD,UP,150,False
12686,EXPRESS,SA,NEA,UP,153,False
12686,EXPRESS,MGSJ,SA,UP,165,False
12686,EXPRESS,KPPR,MGSJ,UP,168,False
12686,EXPRESS,TNT,KPPR,UP,170,False
12686,EXPRESS,DSPT,TNT,UP,179,False
12686,EXPRESS,LCR,DSPT,UP,184,False
12686,EXPRESS,BQI,LCR,UP,192,False
12686,EXPRESS,BDY,BQI,UP,201,False
12686,EXPRESS,TNGR,BDY,UP,209,False
12686,EXPRESS,MAP,TNGR,UP,214,False
12686,EXPRESS,DPI,MAP,UP,220,False
12686,EXPRESS,DST,DPI,UP,227,False
12686,EXPRESS,SLY,DST,UP,234,False
12686,EXPRESS,KNNT,SLY,UP,242,False
12686,EXPRESS,KEY,KNNT,UP,247,False
12686,EXPRESS,TPT,KEY,UP,253,False
12686,EXPRESS,JTJ,TPT,UP,263,False
12681,EXPRESS,JTJ,TPT,DN,91,False
12681,EXPRESS,TPT,KEY,DN,97,False
12681,EXPRESS,KEY,KNNT,DN,106,False
12681,EXPRESS,KNNT,SLY,DN,111,False
12681,EXPRESS,SLY,DST,DN,117,False
12681,EXPRESS,DST,DPI,DN,124,False
12681,EXPRESS,DPI,MAP,DN,131,False
12681,EXPRESS,MAP,TNGR,DN,137,False
12681,EXPRESS,TNGR,BDY,DN,142,False
12681,EXPRESS,BDY,BQI,DN,148,False
12681,EXPRESS,BQI,LCR,DN,156,False
12681,EXPRESS,LCR,DSPT,DN,164,False
12681,EXPRESS,DSPT,TNT,DN,172,False
12681,EXPRESS,TNT,KPPR,DN,178,False
12681,EXPRESS,KPPR,MGSJ,DN,187,False
12681,EXPRESS,MGSJ,SA,DN,189,False
12681,EXPRESS,SA,NEA,DN,195,False
12681,EXPRESS,NEA,VRPD,DN,203,False
12681,EXPRESS,VRPD,DC,DN,206,False
12681,EXPRESS,DC,MVPM,DN,217,False
12681,EXPRESS,MVPM,SGE,DN,231,False
12681,EXPRESS,SGE,ANU,DN,236,False
12681,EXPRESS,ANU,CV,DN,244,False
12681,EXPRESS,CV,ED,DN,255,False
16734,EXPRESS,JTJ,TPT,DN,580,False
16734,EXPRESS,TPT,KEY,DN,586,False
16734,EXPRESS,KEY,KNNT,DN,595,False
16734,EXPRESS,KNNT,SLY,DN,599,False
16734,EXPRESS,SLY,DST,DN,604,False
16734,EXPRESS,DST,DPI,DN,611,False
16734,EXPRESS,DPI,MAP,DN,618,False
16734,EXPRESS,MAP,TNGR,DN,624,False
16734,EXPRESS,TNGR,BDY,DN,629,False
16734,EXPRESS,BDY,BQI,DN,634,False
16734,EXPRESS,BQI,LCR,DN,642,False
