method,block_id,day,start_min,block_len,section_id,n_jobs,n_depts,modelled_reliability,observed_ontime_with_penalty,observed_reliability_with_penalty,mean_overrun_min_with_penalty,observed_ontime_without_penalty,observed_reliability_without_penalty,mean_overrun_min_without_penalty
"B0 Dept-wise, no reliability",C5070,0,720,150,MVPM-SGE-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5154,0,480,150,SGE-ANU-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5232,0,480,150,ANU-CV-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5430,0,750,150,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5445,1,750,150,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3876,2,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C585,0,360,240,MOLK-KEY-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2508,0,660,150,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3156,0,690,150,TNT-KPPR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4827,1,720,150,MVPM-SGE-DN,3,3,0.98,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4944,2,720,150,MVPM-SGE-DN,2,2,0.98,29,0.97,1.3,30,1.0,0.0
"B0 Dept-wise, no reliability",C2469,1,660,240,BQI-LCR-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2904,0,660,240,LCR-DSPT-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2955,1,660,240,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3678,0,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3105,1,690,150,TNT-KPPR-DN,3,3,0.95,29,0.97,6.8,30,1.0,0.0
"B0 Dept-wise, no reliability",C4299,3,720,150,DC-MVPM-DN,3,3,0.92,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5016,3,720,240,MVPM-SGE-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5199,1,480,150,ANU-CV-UP,3,3,0.91,29,0.97,0.6,30,1.0,0.0
"B0 Dept-wise, no reliability",C480,0,600,150,JTJ-TPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5316,0,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C5391,1,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3342,2,690,150,MGSJ-SA-DN,3,3,0.9,28,0.93,16.2,29,0.97,11.5
"B0 Dept-wise, no reliability",C3525,3,690,240,MGSJ-SA-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C870,0,600,150,KEY-KNNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C891,1,600,150,KEY-KNNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3963,3,480,150,DC-MVPM-UP,3,3,0.88,28,0.93,17.8,29,0.97,23.2
"B0 Dept-wise, no reliability",C231,0,630,240,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C339,1,630,150,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C468,2,630,240,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C45,3,630,240,JTJ-TPT-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C960,0,600,150,KEY-KNNT-DN,3,3,0.93,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1950,0,630,150,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2298,0,660,150,BDY-BQI-DN,3,3,0.9,29,0.97,1.1,30,1.0,0.0
"B0 Dept-wise, no reliability",C2076,0,630,150,DPI-MAP-DN,3,3,0.92,28,0.93,7.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1110,0,600,150,KNNT-SLY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C768,2,600,240,KEY-KNNT-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1482,0,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1581,1,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1740,2,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1893,3,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1065,1,600,150,KNNT-SLY-DN,3,3,0.92,28,0.93,9.9,29,0.97,5.6
"B0 Dept-wise, no reliability",C1008,2,600,150,KNNT-SLY-DN,3,3,0.86,27,0.9,6.2,30,1.0,0.0
"B0 Dept-wise, no reliability",C1374,4,630,150,SLY-DST-DN,3,3,0.91,28,0.93,2.3,30,1.0,0.0
"B0 Dept-wise, no reliability",C2976,1,540,240,TNT-KPPR-UP,2,2,0.74,25,0.83,38.7,25,0.83,32.7
"B0 Dept-wise, no reliability",C3327,0,540,240,MGSJ-SA-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C81,1,360,150,MOLK-KEY-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C231,3,600,150,SLY-DST-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C300,0,600,150,DST-DPI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C477,1,570,150,DPI-MAP-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C729,1,570,150,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C780,0,630,150,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C867,1,630,150,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C954,2,570,150,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C996,2,540,150,BQI-LCR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1062,0,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1152,2,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1239,3,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1275,1,540,150,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1320,2,540,150,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1482,0,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1563,1,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1950,0,510,150,NEA-VRPD-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2034,0,0,150,VRPD-DVBH-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2112,4,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2199,5,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2274,4,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2295,1,480,150,SGE-ANU-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2322,2,480,150,SGE-ANU-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2376,0,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2547,0,540,240,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2577,1,540,150,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2706,2,540,150,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2754,2,750,150,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1050,2,660,150,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1380,0,690,150,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1617,1,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1716,2,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1881,3,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2418,2,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2505,3,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C117,1,600,150,KEY-KNNT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C513,1,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C660,2,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C12,4,630,150,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C363,1,630,150,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C396,2,630,150,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C159,3,600,150,KNNT-SLY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1401,1,540,150,MGSJ-SA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C6,0,0,150,TPT-MOLK-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C33,1,0,150,TPT-MOLK-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C78,2,360,150,MOLK-KEY-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C243,1,600,150,DST-DPI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C258,2,570,150,DPI-MAP-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C522,2,570,150,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C579,3,570,150,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C618,2,630,150,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C669,3,540,150,BQI-LCR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C702,2,660,150,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C723,3,660,150,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C813,3,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C873,1,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C948,2,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1107,3,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1194,4,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1266,2,690,150,TNT-KPPR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1458,2,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1521,3,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1602,4,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1737,5,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1917,1,510,240,NEA-VRPD-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1959,3,360,150,DVBH-DC-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1989,1,0,240,DVBH-DC-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2016,6,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2091,7,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2142,8,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2217,5,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2280,6,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2349,1,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2460,2,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2595,3,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2652,2,480,150,ANU-CV-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C849,3,660,150,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1305,1,690,240,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1314,2,690,150,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1818,4,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2700,4,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C309,3,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C456,4,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C183,5,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C158,0,1260,150,KEY-KNNT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1392,2,540,150,MGSJ-SA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C522,0,30,240,MOLK-KEY-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C564,1,30,150,MOLK-KEY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C981,0,600,240,SLY-DST-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1038,1,600,240,SLY-DST-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1089,2,600,240,SLY-DST-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1725,0,570,150,DPI-MAP-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1815,0,570,240,MAP-TNGR-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1860,0,570,240,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1938,1,570,240,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2022,0,540,240,BQI-LCR-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2046,1,540,240,BQI-LCR-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2163,0,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2322,1,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2451,2,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2583,0,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2799,0,540,150,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3045,0,690,150,MGSJ-SA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3102,1,690,150,MGSJ-SA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3189,0,690,150,NEA-VRPD-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3261,0,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3312,1,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3390,0,0,240,DVBH-DC-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3456,0,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3579,1,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3594,2,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3813,0,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3948,1,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4047,2,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4119,0,480,150,MVPM-SGE-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4359,0,720,150,MVPM-SGE-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4443,0,480,150,SGE-ANU-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4521,0,480,150,ANU-CV-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4719,0,750,150,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4734,1,750,150,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3348,2,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C477,0,360,240,MOLK-KEY-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2133,0,660,150,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2721,0,690,150,TNT-KPPR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4170,1,720,150,MVPM-SGE-DN,3,3,0.98,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4266,2,720,150,MVPM-SGE-DN,2,2,0.98,29,0.97,1.3,30,1.0,0.0
B1 Dept-wise + reliability,C2094,1,660,240,BQI-LCR-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2529,0,660,240,LCR-DSPT-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2580,1,660,240,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3153,0,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2670,1,690,150,TNT-KPPR-DN,3,3,0.95,29,0.97,6.8,30,1.0,0.0
B1 Dept-wise + reliability,C3717,3,720,150,DC-MVPM-DN,3,3,0.92,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4326,3,720,240,MVPM-SGE-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4488,1,480,150,ANU-CV-UP,3,3,0.91,29,0.97,0.6,30,1.0,0.0
B1 Dept-wise + reliability,C393,0,600,150,JTJ-TPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4605,0,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C4680,1,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2907,2,690,150,MGSJ-SA-DN,3,3,0.9,28,0.93,16.2,29,0.97,11.5
